"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"ENSG00000233080",2.37782867253773,-4.43317685896591,1.7360470830322,-2.55360404812459,0.01066144192132,0.020823128752578,"Down dans HBR"
"ENSG00000280216",1.95329588209312,4.68659020728271,1.85944979047307,2.52041772318594,0.0117215637834367,0.0227514824989067,"Up dans HBR"
"ENSG00000273366",2.29396441324594,-4.39897628769814,1.77828186571049,-2.47372273907803,0.0133713423306294,0.0256352421982926,"Down dans HBR"
"ENSG00000203280",1.96110799341961,4.69163224705531,1.90595987048146,2.46155877661274,0.0138334729286058,0.0264401240990172,"Up dans HBR"
"ENSG00000273287",1.89942198273185,4.65288578299431,1.89371555592811,2.45701407924166,0.0140097195978811,0.026679188832605,"Up dans HBR"
"ENSG00000272977",20.9881921969523,1.2083974045288,0.495564261166164,2.43842726205718,0.0147513270828876,0.027938119475166,"Up dans HBR"
"ERCC-00028",6.29528211801461,-2.69563696655783,1.12141005400093,-2.403792401308,0.0162259848257701,0.0306381888704117,"Down dans HBR"
"ENSG00000242114",2.1745957005745,-4.29675973406105,1.79528655137832,-2.39335594129095,0.0166950360187593,0.031428908167845,"Down dans HBR"
"ENSG00000241717",3.53768776513984,3.4504797543502,1.47577616313556,2.33807798265221,0.0193832031427336,0.0361488595029662,"Up dans HBR"
"ENSG00000184058",7.08602738575286,-2.25085752846331,0.96309567114216,-2.3371068896966,0.0194336268687947,0.0361488595029662,"Down dans HBR"
"ENSG00000213707",8.97842587515269,-1.82692090807202,0.782326235693758,-2.33524177602445,0.0195307938852641,0.0362217987486353,"Down dans HBR"
"ENSG00000272954",2.11416353591549,-4.26074651405534,1.82724275393048,-2.33179007271491,0.0197117375377521,0.0364492188198078,"Down dans HBR"
"ENSG00000100385",4.23965299590545,-3.21447300325071,1.38248275250941,-2.32514510391971,0.0200642025646252,0.0368827253026198,"Down dans HBR"
"ENSG00000230071",7.77133413207967,-1.99200930419659,0.859103193549168,-2.31870783295207,0.0204108835246695,0.0374099771346581,"Down dans HBR"
"ENSG00000278920",2.05787117342813,-4.21473543981832,1.8581177766029,-2.26828217935889,0.0233120133802644,0.0424781584917355,"Down dans HBR"
"ENSG00000269220",2.01928658850587,-4.1932447417375,1.86335466795466,-2.25037391638399,0.0244252193408247,0.0442485857623636,"Down dans HBR"
"ENSG00000183066",20.1208483574465,1.13765843766344,0.508035765141941,2.23932745629747,0.0251346176678775,0.0452712854248515,"Up dans HBR"
"ENSG00000280356",1.89842225918785,-4.11360992493353,1.84213968961508,-2.23306079779057,0.0255449353378776,0.0458781166269354,"Down dans HBR"
"ERCC-00019",13.8364089706645,-1.33828286713308,0.601590645941144,-2.22457392940251,0.0261098544106473,0.0467583352626205,"Down dans HBR"
"ENSG00000207751",5.7875695249796,-2.30301673830576,1.04629367244262,-2.20111886267003,0.0277276102678741,0.0495135897640609,"Down dans HBR"
"ENSG00000278869",1.95207043615013,-4.13576848213101,1.88310430698011,-2.19625034407331,0.0280740297516918,0.0499893692159753,"Down dans HBR"
