Geneid,UHR_Rep1,UHR_Rep2,UHR_Rep3,HBR_Rep1,HBR_Rep2,HBR_Rep3
ENSG00000100024,2,14,3,0,2,4
ENSG00000228923,0,2,0,0,0,0
ENSG00000138867,771,434,581,122,124,121
ENSG00000100028,581,413,505,138,175,192
ENSG00000100031,161,74,116,16,28,21
ENSG00000178026,40,39,44,36,51,46
ENSG00000215481,9,10,15,4,2,4
ENSG00000224334,0,2,0,0,0,0
ENSG00000184571,2,3,0,0,0,0
ENSG00000167037,9,9,14,288,362,311
ENSG00000197077,326,197,292,261,321,268
ENSG00000279085,0,4,0,0,0,0
ENSG00000279110,0,4,0,0,0,0
ENSG00000203280,0,0,0,1,3,6
ENSG00000100053,1,0,0,0,2,2
ENSG00000236641,0,0,0,0,1,0
ENSG00000244752,0,6,0,0,2,0
ENSG00000230637,0,0,0,0,1,0
ENSG00000231466,8,4,2,0,1,4
ENSG00000100068,78,42,51,14,9,9
ENSG00000272942,2,2,2,0,0,0
ENSG00000100058,101,66,103,41,46,41
ENSG00000272977,23,16,8,20,34,21
ENSG00000234884,2,2,0,0,0,0
ENSG00000100077,338,252,253,407,565,520
ENSG00000237387,0,2,0,0,0,0
ENSG00000224003,18,6,8,5,10,8
ENSG00000133454,164,158,132,0,0,0
ENSG00000231933,0,4,0,0,0,0
ENSG00000223056,0,2,0,0,0,0
ENSG00000236464,0,2,0,0,0,0
ENSG00000229770,0,0,1,2,0,0
ENSG00000100095,31,28,43,797,1014,923
ENSG00000128203,38,22,44,113,146,188
ENSG00000100099,620,390,507,228,345,361
ENSG00000100104,173,125,148,97,114,130
ENSG00000100109,338,180,215,133,179,107
ENSG00000261188,52,26,34,28,46,24
ENSG00000128294,166,83,169,75,76,74
ENSG00000221760,2,0,0,0,0,0
ENSG00000213707,18,20,12,2,4,4
ENSG00000100122,5,5,8,4,0,2
ENSG00000196431,0,2,2,2,0,0
ENSG00000225783,121,84,110,1071,1222,1199
ENSG00000206028,0,0,2,0,0,0
ENSG00000244625,16,21,23,4,10,16
ENSG00000223704,6,9,4,4,6,10
ENSG00000235271,0,2,0,0,2,1
ENSG00000279440,0,4,0,0,0,0
ENSG00000236858,0,0,0,2,0,0
ENSG00000280025,0,4,0,0,0,0
ENSG00000231405,0,2,0,0,0,0
ENSG00000233521,4,2,5,2,0,0
ENSG00000226741,0,4,0,0,0,0
ENSG00000230051,0,0,0,1,5,2
ENSG00000280445,2,0,0,0,0,0
ENSG00000224027,0,2,0,0,0,0
ENSG00000227838,4,1,2,0,0,0
ENSG00000169184,242,182,247,88,68,62
ENSG00000180957,214,161,162,154,179,126
ENSG00000235954,79,83,68,79,116,117
ENSG00000283225,1,0,1,1,0,0
ENSG00000100154,377,211,212,158,237,146
ENSG00000239249,0,0,0,2,0,0
ENSG00000266503,0,0,1,0,0,0
